breed_name,akc_group,popularity_rank,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,life_expectancy_min,life_expectancy_max,size_category,energy_level,trainability,shedding_level,grooming_frequency,good_with_strangers,hypoallergenic,coat_type,image_url_1,image_url_2,origin_country,grooming_cost_tier,exercise_min_per_day,monthly_food_cost_usd,vet_cost_tier,monthly_total_cost_usd,playfulness,affection_level,intelligence,independence,barking_level,protective_instinct,separation_anxiety,good_with_kids,good_with_dogs,good_with_cats,good_with_elderly,apartment_suitable,needs_yard,heat_tolerance,cold_tolerance,urban_suitable,first_time_owner_suitable,experience_required,guard_dog,working_dog,llm_summary
English Toy Spaniel,Toy Group,135,22.86,25.4,3.62873896,6.35029318,10.0,12.0,small,3.0,3.0,3.0,3.0,3.0,0,long,https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg,https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg,United Kingdom,3,30,35,2,95,4,5,4,2,2,1,4,1,1,1,1,1,0,2,2,1,1,1,0,0,"English Toy Spaniels are gentle, affectionate lap dogs ideal for apartment living and less active households. Their luxurious coats require regular professional grooming and their small size makes them suitable companions for elderly owners. They thrive with families seeking a devoted, playful toy breed."
Entlebucher Mountain Dog,Herding Group,157,40.64,53.34,18.1436948,29.48350405,11.0,13.0,large,5.0,3.0,2.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/KFJFCM2M2M.jpg,,"Entlebuch valley, Switzerland",1,120,75,1,100,5,4,4,3,3,4,3,1,1,0,0,0,1,3,5,0,0,2,1,1,"Entlebucher Mountain Dogs are energetic, protective herding dogs requiring extensive daily exercise and experienced owners. They are excellent farm and family guardians with strong protective instincts and need substantial space to thrive. These loyal, intelligent dogs are best suited for active households with clear leadership and socialization."
Estrela Mountain Dog,Foundation Stock Service,,62.23,73.66,34.926612490000004,59.874192840000006,10.0,14.0,giant,3.0,,3.0,3.0,,0,double,https://cdn4.thedogapi.com/optimized/9QavaBx9AT.jpg,,"Serra da Estrela Mountains, Portugal",2,60,85,2,125,3,4,4,4,3,5,2,1,0,0,0,0,1,3,5,0,0,3,1,0,"Estrela Mountain Dogs are powerful flock guardians with strong protective instincts best suited for experienced owners on farms or large rural properties. Wary of strangers and dominant with other dogs, they require proper socialization and firm, knowledgeable leadership. These loyal, intelligent dogs excel as working protectors rather than family pets."
Eurasier,Foundation Stock Service,,48.26,60.96,18.1436948,31.751465900000003,12.0,16.0,large,3.0,3.0,3.0,3.0,3.0,0,double,https://cdn2.thedogapi.com/images/S1VWGx9Nm_1280.jpg,https://cdn4.thedogapi.com/optimized/hZkMlKOLPl.jpg,Germany,3,45,70,2,135,3,5,4,2,2,2,4,1,1,1,1,1,0,2,5,1,1,1,0,0,"Eurasiers are calm, family-oriented companions with beautiful double coats and gentle temperaments ideal for various living situations. They thrive on human companionship and require regular grooming, making them excellent for devoted owners seeking a loyal, even-tempered pet. These intelligent dogs excel in homes where they receive consistent attention and proper socialization."
Field Spaniel,Sporting Group,149,43.18,45.72,15.875732950000002,22.6796185,12.0,13.0,medium,3.0,3.0,4.0,3.0,3.0,0,medium,https://cdn2.thedogapi.com/images/SkJfGecE7_1280.jpg,https://cdn4.thedogapi.com/optimized/Be3GbWbcKe.jpg,England,2,60,65,2,115,4,4,4,3,2,2,3,1,1,1,1,0,1,3,3,0,1,1,0,0,"Field Spaniels are sweet, sensitive hunting companions with balanced temperaments and moderate independence. They require regular daily exercise and enjoy space to roam, making them suitable for active families with yards. These intelligent, family-oriented dogs respond well to gentle training and form strong bonds with their owners."
Finnish Lapphund,Herding Group,161,40.64,53.34,14.968548210000002,24.04039561,12.0,15.0,medium,3.0,5.0,3.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/iYYvYN0MXl.jpg,https://cdn2.thedogapi.com/images/S1KMGg5Vm_1280.jpg,Lapland (Finland),3,60,70,1,135,4,4,5,2,3,2,4,1,1,1,1,0,1,2,5,0,1,1,0,1,"Finnish Lapphunds are friendly, trainable herding dogs with luscious Nordic coats requiring regular grooming. They crave companionship and thrive with active families in cooler climates, though they dislike being left alone. These intelligent, agile dogs excel as family companions for owners committed to meeting their social and exercise needs."
Finnish Spitz,Non-Sporting Group,184,39.37,50.8,9.0718474,14.968548210000002,13.0,15.0,medium,5.0,3.0,3.0,3.0,4.0,0,double,https://cdn2.thedogapi.com/images/fbl5hbwrc.jpg,https://cdn2.thedogapi.com/images/gwZ3amqat.jpg,Finland,2,90,55,1,105,5,4,4,4,5,3,2,1,1,0,0,0,1,2,5,0,0,2,1,0,"Finnish Spitz are vocal, energetic hunting dogs with striking foxy features and lively temperaments requiring substantial daily exercise. Their high barking tendency and independence make them challenging for apartment living and first-time owners. Best suited for experienced handlers in rural areas who appreciate their alertness and spirited personality."
Flat-Coated Retriever,Sporting Group,91,55.88,62.23,27.2155422,31.751465900000003,8.0,10.0,large,5.0,5.0,4.0,3.0,4.0,0,long,https://cdn4.thedogapi.com/optimized/vol1VcS0yZ.jpg,,England,2,120,80,2,140,5,5,5,2,2,1,4,1,1,1,1,0,1,3,3,0,1,1,0,0,"Flat-Coated Retrievers are among the happiest, most optimistic breeds with exceptional trainability and deep affection for their families. They require substantial daily exercise and space to thrive, making them ideal for active households with yards. Their cheerful nature and excellent obedience make them wonderful family dogs for owners able to meet their considerable energy needs."
French Bulldog,Non-Sporting Group,4,27.94,33.02,12.70058636,12.70058636,10.0,12.0,medium,3.0,3.0,4.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/Rvl1BeqaRB.jpg,https://cdn2.thedogapi.com/images/HyWNfxc47_1280.jpg,France,1,30,40,3,75,4,5,3,2,1,2,4,1,1,1,1,1,0,1,1,1,1,1,0,0,"French Bulldogs are charming, affectionate companions well-suited for apartment living and families with children. Their minimal exercise needs and quiet nature make them ideal for urban environments, though their heat sensitivity and potential health issues require careful management."
French Spaniel,Foundation Stock Service,,54.61,60.96,22.6796185,27.2155422,10.0,12.0,large,,,,,,0,medium,https://cdn4.thedogapi.com/optimized/7l7CbmRayV.jpg,,France,2,60,50,2,95,4,4,5,3,2,2,3,1,1,1,0,0,1,3,3,0,1,2,0,0,"French Spaniels are highly intelligent, eager working dogs that thrive with active owners and require substantial daily exercise. Their gentle, sociable temperament makes them excellent family companions, though they need space and consistent training."
German Longhaired Pointer,Foundation Stock Service,,55.88,71.12,24.947580350000003,36.2873896,12.0,14.0,large,4.0,5.0,,2.0,4.0,0,long,https://cdn4.thedogapi.com/optimized/0PFyClsVEl.jpg,,Germany,2,90,65,2,120,4,4,5,3,2,2,2,1,1,1,0,0,1,3,4,0,1,2,0,0,"German Longhaired Pointers are versatile, calm family-oriented hunters that excel in active households with access to outdoor space. Their trainability and balanced temperament make them suitable for experienced dog owners willing to meet their significant exercise requirements."
German Pinscher,Working Group,134,43.18,50.8,11.33980925,20.41165665,12.0,14.0,medium,5.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/B1u4zgqE7_1280.jpg,https://cdn4.thedogapi.com/optimized/j1G4ppvAsp.jpg,Germany,1,60,45,1,70,5,3,4,4,3,4,2,1,0,0,0,0,1,4,2,0,0,3,1,1,"German Pinschers are courageous, intelligent dogs with high energy and strong prey drives requiring experienced owners. They are best suited for families with adequate space and need firm training and socialization to manage their protective instincts."
German Shepherd Dog,Herding Group,2,55.88,66.04,22.6796185,40.8233133,7.0,10.0,large,3.0,5.0,4.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/kc6oAx2b3X.jpg,https://cdn2.thedogapi.com/images/SJyBfg5NX_1280.jpg,Germany,2,120,75,2,135,3,4,5,3,3,5,3,1,1,1,0,0,1,3,4,0,0,2,1,1,"German Shepherd Dogs are confident, courageous, and highly intelligent working dogs that excel in roles requiring protection and training. They require experienced owners who can provide substantial daily exercise, consistent training, and proper socialization to manage their strong protective instincts."
German Shorthaired Pointer,Sporting Group,9,53.34,63.5,20.41165665,31.751465900000003,10.0,12.0,large,5.0,5.0,4.0,3.0,4.0,0,short,https://cdn4.thedogapi.com/optimized/A7aYZ5fINU.jpg,https://cdn2.thedogapi.com/images/SJqBMg5Nm_1280.jpg,Germany,2,120,70,2,135,5,4,5,3,2,2,2,1,1,1,0,0,1,4,3,0,1,2,0,0,"German Shorthaired Pointers are friendly, happy, and highly trainable sporting dogs perfect for active families with outdoor space. Their intelligence and willing nature make them suitable for first-time owners who can commit to substantial daily exercise and mental stimulation."
German Spitz,Foundation Stock Service,,30.48,38.1,10.88621688,11.79340162,13.0,15.0,medium,3.0,5.0,3.0,3.0,3.0,0,double,,,Germany,3,45,35,1,90,4,4,5,3,4,3,3,1,1,1,1,1,0,2,5,1,1,1,0,0,"German Spitz are devoted, lively dogs with beautiful double coats requiring regular grooming investment. Their intelligent and attentive nature makes them excellent family companions suitable for various living situations, though they can be vocal."
German Wirehaired Pointer,Sporting Group,63,55.88,66.04,22.6796185,31.751465900000003,14.0,16.0,large,5.0,5.0,4.0,3.0,3.0,0,wire,https://cdn4.thedogapi.com/optimized/vkQ7J4dsDD.jpg,,Germany,3,120,75,2,155,4,4,5,3,2,2,2,1,1,1,0,0,1,3,4,0,1,2,0,0,"German Wirehaired Pointers are affectionate, eager hunters that require substantial daily outdoor exercise and regular grooming. Their intelligence and enthusiasm make them excellent working companions for active families with adequate space."
Giant Schnauzer,Working Group,78,59.69,69.85,24.947580350000003,38.55535145,12.0,15.0,large,5.0,4.0,,4.0,3.0,0,wire,https://cdn2.thedogapi.com/images/H1NIzlcV7_1280.jpg,https://cdn4.thedogapi.com/optimized/Ygv4UKHpCW.jpg,Germany,3,90,85,2,170,4,3,5,3,4,4,2,1,0,0,0,0,1,3,4,0,0,3,1,1,"Giant Schnauzers are loyal, alert, and imposing working dogs that require experienced owners capable of providing firm training and socialization. Their size, protective instincts, and need for regular grooming make them best suited for households with substantial space and commitment."
Glen of Imaal Terrier,Terrier Group,174,31.75,35.56,14.51495584,18.1436948,10.0,15.0,medium,3.0,3.0,3.0,3.0,3.0,0,wire,https://cdn2.thedogapi.com/images/H1oLMe94m_1280.jpg,https://cdn4.thedogapi.com/optimized/lzq3JY4LXN.jpg,"Glen of Imaal, County Wicklow, Ireland",2,45,35,1,75,3,4,3,3,3,2,2,1,0,0,1,1,0,3,4,1,1,1,0,0,"Glen of Imaal Terriers are gentle, spirited dogs that are less excitable than other terriers and suitable for families with children. Their modest exercise needs and compact size make them adaptable to various living situations, though they retain typical terrier prey drive."
Golden Retriever,Sporting Group,3,54.61,60.96,24.947580350000003,34.01942775,10.0,12.0,large,5.0,5.0,3.0,3.0,4.0,0,double,https://cdn2.thedogapi.com/images/HJ7Pzg5EQ_1280.jpg,https://cdn4.thedogapi.com/optimized/X9w40D9ojT.jpg,Scotland,2,60,80,2,120,5,5,5,2,2,2,4,1,1,1,1,0,1,3,4,0,1,1,0,0,"Golden Retrievers are friendly, intelligent, and highly trainable dogs that excel as family companions and service animals. They require substantial daily exercise and regular grooming but reward their owners with unwavering loyalty and affection. Ideal for active families with space, though their social nature makes them unsuitable as guard dogs."
Gordon Setter,Sporting Group,115,58.42,68.58,20.41165665,36.2873896,12.0,13.0,large,5.0,3.0,3.0,3.0,3.0,0,long,https://cdn2.thedogapi.com/images/SJ5vzx5NX_1280.jpg,https://cdn4.thedogapi.com/optimized/GFuEqzH0Fq.jpg,Scotland,3,75,85,2,150,4,4,4,3,3,3,3,1,1,0,1,0,1,2,5,0,0,2,0,0,"Gordon Setters are elegant, confident hunting dogs requiring experienced owners who can provide substantial daily exercise and professional grooming. Their bold temperament and high energy make them better suited for active families than apartments or first-time owners. They form strong bonds with their families but demand consistent training and socialization."
Grand Basset Griffon Vendéen,Hound Group,177,39.37,45.72,18.1436948,20.41165665,13.0,15.0,medium,5.0,3.0,3.0,3.0,4.0,0,wire,https://cdn4.thedogapi.com/optimized/quzLpWsNBj.jpg,,"Vendée region, France",2,70,75,1,110,4,4,3,4,4,2,2,1,1,0,0,0,1,3,4,0,0,2,0,0,"Grand Basset Griffon Vendéens are independent, energetic hound dogs with strong prey drives requiring secure fencing and experienced owners. Their happy, outgoing nature makes them good family companions but they can be stubborn and need consistent training. These dogs are best suited for active homes where their hunting instincts can be appropriately managed."
Great Dane,Working Group,16,71.12,81.28,49.895160700000005,79.37866475,7.0,10.0,giant,4.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/B1Edfl9NX_1280.jpg,https://cdn4.thedogapi.com/optimized/MmjpsRG5IG.jpg,Germany,1,45,120,3,170,3,4,3,2,2,3,3,1,1,1,1,1,0,2,2,1,0,2,1,1,"Great Danes are gentle giants that can adapt to apartments despite their size, requiring moderate exercise and minimal grooming. However, they are prone to serious health issues and have significant veterinary costs, making them better suited for experienced owners with resources. Their calm, friendly temperament makes them excellent family companions when properly trained."
Great Pyrenees,Working Group,66,63.5,81.28,38.55535145,45.359237,10.0,12.0,giant,5.0,3.0,3.0,3.0,3.0,0,double,,,,3,55,100,2,160,2,3,4,4,3,5,2,1,0,0,1,0,1,2,5,0,0,3,1,1,"Great Pyrenees are powerful livestock guardians with strong protective instincts requiring experienced owners and secure, spacious properties. Their thick double coats demand regular grooming, and their independent nature makes them challenging to train and control. These dogs are best suited for rural homes where their guarding abilities and cold tolerance can be properly utilized."
Greater Swiss Mountain Dog,Working Group,74,59.69,72.39,38.55535145,63.502931800000006,8.0,11.0,giant,4.0,3.0,3.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/DvUSQI2TdY.jpg,,Switzerland,2,60,95,2,135,3,4,4,3,2,3,3,1,1,1,1,0,1,2,5,0,0,2,1,1,"Greater Swiss Mountain Dogs are loyal, family-oriented working dogs that thrive in cool climates and require substantial daily exercise and space. Their dependable temperament and social nature make them good family companions, but they require experienced owners and are prone to heat sensitivity. These dogs excel in active households with yards where their working heritage can be appreciated."
Greyhound,Hound Group,145,68.58,76.2,27.2155422,31.751465900000003,10.0,13.0,large,4.0,3.0,3.0,2.0,4.0,0,short,https://cdn4.thedogapi.com/optimized/fVVxWR2qse.jpg,https://cdn2.thedogapi.com/images/ryNYMx94X_1280.jpg,Ancient Egypt/Middle East,1,60,60,1,80,3,3,3,4,1,1,2,1,0,0,1,1,0,2,1,1,1,1,0,0,"Greyhounds are gentle, elegant dogs with minimal grooming needs and low barking tendencies, making them suitable for apartments and first-time owners. They require regular exercise but have a calm indoor demeanor and form gentle bonds with their families. However, their high prey drive makes them unsuitable for homes with cats or small dogs."
Hamiltonstovare,Foundation Stock Service,,48.26,60.96,18.1436948,34.01942775,14.0,17.0,large,4.0,3.0,2.0,2.0,4.0,0,short,https://cdn4.thedogapi.com/optimized/YKh88C42fy.jpg,,Sweden,1,70,70,1,95,4,3,4,4,3,2,1,1,1,0,0,0,1,3,4,0,0,2,0,0,"Hamiltonstovares are energetic, independent hunting dogs with strong prey drives requiring secure fencing and experienced owners committed to their exercise needs. These versatile hounds are low-maintenance regarding grooming but demand an active lifestyle and cannot be trusted off-leash around small animals. They make excellent companions for experienced hunters and active families."
Hanoverian Scenthound,Foundation Stock Service,,48.26,53.34,35.83379723,44.905644630000005,10.0,14.0,large,3.0,3.0,2.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/4CrTr8PqD0.jpg,,Germany,1,65,75,1,100,2,3,4,4,2,2,1,1,1,0,0,0,1,3,4,0,0,2,0,0,"Hanoverian Scenthounds are calm, independent working dogs bred for tireless hunting and tracking, best suited for experienced owners with active lifestyles. Their strong prey drive and need for secure fencing make them unsuitable for homes with small pets or apartment living. These loyal, efficient hunters thrive when their tracking abilities and exercise needs are properly managed."
Harrier,Hound Group,189,48.26,53.34,20.41165665,27.2155422,12.0,15.0,large,5.0,4.0,3.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/B1IcfgqE7_1280.jpg,https://cdn4.thedogapi.com/optimized/6H9mhrLwdk.jpg,England,2,75,70,1,110,4,4,4,3,3,2,2,1,1,0,0,0,1,3,4,0,0,2,0,0,"Harriers are friendly, people-oriented hunting hounds that require substantial daily exercise and secure fencing due to their strong prey drive. Their outgoing temperament and pack mentality make them good with children and other dogs, but they need experienced owners who understand hound behavior. These energetic dogs thrive in active homes where their hunting heritage is respected."
Havanese,Toy Group,24,21.59,29.21,3.17514659,5.8967008100000005,14.0,16.0,small,3.0,4.0,3.0,3.0,5.0,0,long,https://cdn4.thedogapi.com/optimized/8bzLyVs2dA.jpg,https://cdn2.thedogapi.com/images/rkXiGl9V7_1280.jpg,Cuba,3,30,25,1,75,4,5,4,2,3,1,4,1,1,1,1,1,0,3,2,1,1,1,0,0,"Havanese are affectionate toy dogs ideal for city living and apartment dwellers. They are highly social, playful, and adaptable companions that thrive on human attention and interaction. Their long, silky coat requires regular grooming but their small size and friendly temperament make them excellent family pets."
Hokkaido,Foundation Stock Service,,45.72,50.8,19.95806428,29.937096420000003,12.0,15.0,large,4.0,,3.0,3.0,,0,double,https://cdn4.thedogapi.com/optimized/HjEiNecppQ.jpg,,"Hokkaido, Japan",2,60,45,1,65,3,4,4,4,3,4,2,1,0,0,0,0,1,2,5,0,0,2,1,0,"The Hokkaido is a loyal, dignified Japanese breed with strong guarding instincts and high exercise needs. Early socialization and training are essential as they can be independent and protective of their territory. They thrive with experienced owners who can provide firm leadership and require adequate space to roam."
Hovawart,Foundation Stock Service,,58.42,71.12,29.48350405,40.8233133,10.0,14.0,large,3.0,2.0,3.0,2.0,3.0,0,long,https://cdn4.thedogapi.com/optimized/4Wdkl66Mlp.jpg,,Germany,2,90,60,2,80,4,4,5,4,3,5,2,1,0,0,0,0,1,3,4,0,0,3,1,0,"Hovawarts are large, intelligent working dogs requiring experienced owners who can provide strong leadership and substantial exercise. Their protective instincts and strong will make them unsuitable for first-time owners, but they excel as family guardians and livestock protectors. They take about two years to mature and need consistent training from puppyhood."
Ibizan Hound,Hound Group,152,57.15,69.85,20.41165665,22.6796185,11.0,14.0,medium,5.0,3.0,3.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/ViHkh0d7Ov.jpg,,"Balearic Islands, Spain",1,120,40,1,50,4,3,3,4,2,2,2,1,1,0,0,0,1,4,2,0,0,2,0,0,"Ibizan Hounds are elegant, high-energy sighthounds requiring extensive daily exercise and a secure yard. They have strong prey drives and are better suited for experienced owners in warmer climates. Their independent nature and athletic abilities make them excellent competition and hunting dogs."
Icelandic Sheepdog,Herding Group,155,41.91,45.72,11.33980925,13.6077711,12.0,14.0,medium,4.0,5.0,3.0,3.0,4.0,0,double,https://cdn4.thedogapi.com/optimized/fjKm1CMZDK.jpg,,Iceland,3,60,35,1,85,5,4,5,3,4,3,3,1,1,1,0,0,1,2,5,0,1,1,0,1,"Icelandic Sheepdogs are friendly, playful spitz-type dogs with excellent trainability and intelligence. They are great family companions suitable for first-time owners, though they require regular exercise and cold climate conditions. Their dense coat requires frequent grooming but their even-tempered, affectionate nature makes them wonderful with children."
Irish Red and White Setter,Sporting Group,146,57.15,66.04,15.875732950000002,27.2155422,11.0,15.0,large,5.0,4.0,,3.0,4.0,0,medium,https://cdn4.thedogapi.com/optimized/dU7w5jnMC1.jpg,,Ireland,3,120,55,1,95,4,4,4,3,2,2,3,1,1,0,0,0,1,3,3,0,0,2,0,0,Irish Red and White Setters are powerful sporting dogs requiring extensive daily exercise and experienced owners. Their high energy levels and strong hunting drive make them unsuitable for apartment living or first-time owners. They excel as active family companions and hunting partners with proper training and outlets for their athleticism.
Irish Setter,Sporting Group,77,63.5,68.58,27.2155422,31.751465900000003,12.0,15.0,large,5.0,3.0,3.0,3.0,5.0,0,long,https://cdn2.thedogapi.com/images/S1osGeqVm_1280.jpg,https://cdn4.thedogapi.com/optimized/wWecmugBdH.jpg,Ireland,3,120,55,1,95,5,5,3,3,3,1,4,1,1,0,0,0,1,3,3,0,0,2,0,0,"Irish Setters are beautiful, outgoing sporting dogs with high energy and affection levels requiring extensive daily exercise. Their playful, sweet nature makes them excellent family companions but they need experienced owners and significant space. Their long, mahogany coat requires regular professional grooming maintenance."
Irish Terrier,Terrier Group,116,45.72,45.72,11.33980925,12.24699399,13.0,15.0,medium,3.0,3.0,,2.0,3.0,0,wire,https://cdn2.thedogapi.com/images/By-hGecVX_1280.jpg,,Ireland,2,60,30,1,50,4,4,3,4,4,3,2,1,0,0,0,0,1,3,3,0,0,2,0,0,"Irish Terriers are bold, fiery dogs with strong prey drives and independent streaks requiring experienced handlers. They excel in active families with proper training and socialization but can be dog-aggressive and territorial. Their red wire coat requires regular hand-stripping and they need consistent exercise and mental stimulation."
Irish Water Spaniel,Sporting Group,159,53.34,60.96,20.41165665,30.84428116,12.0,13.0,large,5.0,4.0,3.0,3.0,3.0,1,curly,https://cdn4.thedogapi.com/optimized/RzLkPO1XKH.jpg,,Ireland,3,90,50,1,100,5,4,4,3,2,2,2,1,1,0,0,0,1,3,3,0,0,2,0,0,"Irish Water Spaniels are playful, hardworking sporting dogs with water-resistant curly coats suitable for allergy sufferers. They require extensive exercise and thrive in active families with access to water and open spaces. Their intelligence and trainability make them excellent hunting and competition dogs for experienced owners."
Irish Wolfhound,Hound Group,76,76.2,81.28,47.62719885,54.4310844,6.0,8.0,giant,3.0,3.0,3.0,3.0,3.0,0,wire,https://cdn4.thedogapi.com/optimized/s2EMPFktdk.jpg,https://cdn2.thedogapi.com/images/Hyd2zgcEX_1280.jpg,Ireland,2,60,75,3,110,3,4,3,3,2,2,2,1,1,0,0,0,1,2,4,0,0,2,0,0,"Irish Wolfhounds are amiable giants requiring experienced owners prepared for their substantial size and associated health costs. Their calm, dignified temperament makes them gentle family companions despite their imposing appearance. They have moderate exercise needs but their large frame predisposes them to expensive orthopedic and cardiac health issues."
Italian Greyhound,Toy Group,73,33.02,38.1,3.17514659,6.35029318,14.0,15.0,small,3.0,3.0,3.0,2.0,2.0,0,short,https://cdn2.thedogapi.com/images/SJAnzg9NX_1280.jpg,https://cdn4.thedogapi.com/optimized/dn8F4NPRdX.jpg,Italy,1,30,25,2,50,4,5,3,2,3,1,4,1,1,1,1,1,0,4,2,1,1,1,0,0,"Italian Greyhounds are delicate, affectionate lap dogs that thrive as indoor companions in apartments and small homes. They require minimal exercise but benefit from gentle socialization and can be prone to separation anxiety. These charming toy breeds are best suited for attentive owners who can provide consistent companionship."
Jagdterrier,Foundation Stock Service,,33.02,40.64,7.71107029,9.97903214,10.0,12.0,medium,,,,,,0,wire,https://cdn4.thedogapi.com/optimized/VH2GN1blaZ.jpg,,Germany,2,60,35,2,85,4,3,4,4,4,4,2,1,0,0,0,0,1,3,3,0,0,3,1,0,"Jagdterriers are fearless, intelligent hunting dogs best suited for experienced owners with active lifestyles and access to land. They have strong prey drives and dog-aggressive tendencies, making them unsuitable for multi-pet households. These determined workers excel in hunting environments but require firm training and considerable daily exercise."
Japanese Chin,Toy Group,104,20.32,27.94,3.17514659,4.9895160700000005,10.0,12.0,small,3.0,3.0,3.0,3.0,3.0,0,long,https://cdn4.thedogapi.com/optimized/1TlHrdv5SQ.jpg,https://cdn2.thedogapi.com/images/r1H6feqEm_1280.jpg,China/Japan,3,25,30,2,75,4,5,3,1,2,1,4,1,1,1,1,1,0,2,3,1,1,1,0,0,"Japanese Chins are charming, aristocratic lap dogs that excel as indoor companions in apartments and small homes. They are deeply affectionate and excellent with families, though they require regular professional grooming due to their long coats. These elegant toy breeds are ideal for owners seeking a devoted, low-exercise companion."
Japanese Spitz,Foundation Stock Service,,30.48,38.1,4.535923700000001,11.33980925,12.0,14.0,medium,3.0,4.0,3.0,3.0,4.0,0,double,https://cdn2.thedogapi.com/images/HksaMxqNX_1280.jpg,https://cdn4.thedogapi.com/optimized/a9bVhDxsQC.jpg,Japan,2,45,30,1,65,5,4,4,2,3,2,3,1,1,1,1,1,0,2,4,1,1,1,0,0,"Japanese Spitz are intelligent, playful small dogs with white coats that shed seasonally and require regular brushing. They are eager to please, highly trainable, and excellent family companions that thrive in apartments and urban environments. These comedic, loyal companions are well-suited for first-time dog owners."
Jindo,Foundation Stock Service,,45.72,55.88,13.6077711,22.6796185,14.0,14.0,medium,4.0,3.0,3.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/E1ha8jMewD.jpg,,"Jindo Island, South Korea",1,60,40,2,70,3,3,4,4,2,4,2,1,0,0,0,0,1,3,4,0,0,3,1,0,"Jindos are bold, intelligent Korean hunting dogs with strong guarding and territorial instincts best suited for experienced owners. They possess high prey drives and dog-aggressive tendencies, making them unsuitable for multi-pet households or urban environments. These loyal, independent workers require significant daily exercise and secure fencing."
Kai Ken,Foundation Stock Service,,39.37,49.53,9.0718474,18.1436948,12.0,15.0,medium,4.0,3.0,3.0,2.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/Q46ay2DcNG.jpg,,"Kai Province, Yamanashi Prefecture, Japan",1,60,40,2,70,4,3,4,4,2,3,2,1,0,0,0,0,1,3,4,0,0,3,1,0,"Kai Ken are athletic, intelligent Japanese hunting dogs with strong prey drives and independent temperaments best suited for experienced hunters. They are loyal to their families but have high exercise needs and territorial instincts toward other dogs. These agile workers excel in outdoor environments and require significant daily activity."
Karelian Bear Dog,Foundation Stock Service,,48.26,59.69,19.95806428,22.22602613,11.0,13.0,medium,3.0,,3.0,2.0,,0,double,https://cdn4.thedogapi.com/optimized/yBaceAF82G.jpg,,Karelia Finland,1,60,45,2,75,3,3,4,4,2,5,2,0,0,0,0,0,1,3,5,0,0,3,1,0,"Karelian Bear Dogs are independent, courageous hunting dogs bred to tackle large game and require experienced handlers with significant land. They are highly dog-aggressive and possess strong fighting instincts, making them unsuitable for most multi-pet households and family settings. These powerful workers are best suited for professional hunters in rural environments."
Keeshond,Non-Sporting Group,95,43.18,45.72,15.875732950000002,20.41165665,12.0,15.0,medium,3.0,4.0,3.0,3.0,4.0,0,double,https://cdn4.thedogapi.com/optimized/ZpfPWRzZjj.jpg,https://cdn2.thedogapi.com/images/S1GAGg9Vm_1280.jpg,Netherlands,2,45,35,2,75,4,4,4,2,3,2,3,1,1,1,1,1,0,2,4,1,1,1,0,0,"Keeshonden are friendly, lively spitz-type dogs ideal for families and apartments with their distinctive ""spectacles"" markings and alert personalities. They are highly trainable, outgoing, and excellent with children and other pets, making them suitable for first-time owners. Regular grooming is needed to maintain their plush double coats."
Kerry Blue Terrier,Terrier Group,129,44.45,49.53,14.968548210000002,18.1436948,12.0,15.0,medium,3.0,2.0,,3.0,3.0,0,curly,https://cdn4.thedogapi.com/optimized/raFDcesotq.jpg,,Ireland,3,45,40,2,90,4,4,4,3,3,3,3,1,0,0,1,1,0,3,2,1,0,2,1,0,"Kerry Blue Terriers are athletic, intelligent dogs with striking blue coats requiring professional grooming and need some experience to manage. They possess terrier spirit and prey drives, making them better suited as single dogs in homes with experienced owners. These sporty, people-oriented dogs thrive with consistent training and moderate daily exercise."
Kishu Ken,Foundation Stock Service,,43.18,55.88,13.6077711,27.2155422,11.0,13.0,large,4.0,3.0,3.0,2.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/jSFVZFE2ni.jpg,,"Kii Peninsula, Japan",1,60,40,1,65,3,4,4,3,2,3,2,1,0,0,1,0,1,3,4,0,0,2,1,0,"Kishu Ken are loyal, noble Japanese dogs that are affectionate with family but often aloof with strangers and require socialization. They possess strong prey drives and are best as single dogs in homes with experienced owners and secure fencing. These active hunters need substantial daily exercise and do not thrive in urban apartments."
